permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
11378,2006,24079,20060327,5.173620548,1,-0.308864304,0.083821958,6.816572287,2.664007734,2.445576351,0.849528912,1.21609829,5.854693627,0.198384708,0.035284613,5.153101772,14
11378,2007,24079,20070331,4.937958768,1,0.287174844,-0.308864304,8.326048456,3.88331569,2.853401048,0.881443757,1.305409413,5.778778624,0.177835021,-0.016629871,5.173620548,15
11378,2008,24079,20080228,5.695040644,1,1.315281884,-0.168761458,8.743349194,4.356799284,3.097982031,0.819757923,2.340837393,5.855472988,0.094407051,0.091241578,4.937958768,16
11378,2009,24079,20090304,5.567363059,1,-0.071997516,0.748326093,8.874747661,4.451415793,3.286820409,0.864666152,2.490232717,5.962540244,0.010755237,0.073447464,5.695040644,17
11378,2010,24079,20100304,5.145235935,1,0.203135908,-0.071997516,8.740059185,4.32034643,3.196734673,0.870149014,2.092345637,6.056123374,0,0.203988173,5.567363059,18
11378,2011,24079,20110301,5.131802995,1,-0.075205808,0.203135908,8.860499674,4.450646671,3.313993517,0.907014671,2.001930525,6.219721005,0.028250335,0.079423468,5.145235935,19
11378,2012,24079,20120302,5.700056848,1,-0.018504683,-0.075205808,8.78747904,4.471383452,2.992543265,0.908221162,1.916937937,6.317146636,0.025818654,0.105709552,5.131802995,20
12062,1998,15774,19980701,7.065920997,1,-0.194840532,-0.657951276,6.278756782,2.157282293,2.227326505,0.097466408,1.052517486,7.414271631,0.395050356,0.07532603,6.700226514,6
12062,1999,15774,19990701,7.003974137,0,0.459739083,-0.194840532,7.278154869,2.970301335,2.798694832,0.272650306,1.010884271,7.403609387,0.390653259,0.075429605,0,7
12062,2001,15774,20010701,8.498514832,0,0.748988069,1.868090757,10.69659073,6.13267052,3.868032031,0.202201043,4.155390245,7.419320629,0.070265151,0.155137719,8.149989875,9
12062,2001,15774,20010701,9.291655848,1,0.748988069,1.868090757,10.69659073,6.13267052,3.868032031,0.202201043,4.155390245,7.419320629,0.070265151,0.155137719,8.392378873,9
12062,2002,15774,20020701,9.55817891,0,-0.255935926,0.748988069,10.80646683,6.303550095,4.983533698,0.163106925,3.393703825,7.565586114,0.077712561,0.18957346,8.498514832,10
12062,2002,15774,20020701,9.020858768,1,-0.255935926,0.748988069,10.80646683,6.303550095,4.983533698,0.163106925,3.393703825,7.565586114,0.077712561,0.18957346,9.291655848,10
12062,2003,15774,20030701,8.460267576,1,-0.086654893,-0.255935926,10.35513482,5.919720323,5.361473613,0.131021227,1.69753583,7.868177722,0.117984744,0.231343284,9.511469795,11
12062,2004,15774,20040701,8.82306785,1,0.21501473,-0.086654893,10.8246909,6.4680895,5.845210801,0.36563656,1.995711251,8.136196281,0.129740275,0.216785359,8.460267576,12
12062,2005,15774,20050701,7.565776193,0,0.258446258,0.21501473,11.07807871,6.802297292,6.046091064,0.545308361,2.453682135,8.189216763,0.100990735,0.15757416,0,13
12062,2005,15774,20050701,8.387022825,1,0.258446258,0.21501473,11.07807871,6.802297292,6.046091064,0.545308361,2.453682135,8.189216763,0.100990735,0.15757416,8.82306785,13
12062,2006,15774,20060701,7.766997662,0,0.216787393,0.258446258,10.91595082,6.81578537,5.738112189,0.648463936,2.271047268,8.26276535,0.131002457,0.159460135,7.565776193,14
12062,2006,15774,20060223,8.42612138,1,0.168604224,0.196385592,10.91595082,6.81578537,5.738112189,0.648463936,2.271047268,8.26276535,0.131002457,0.159460135,8.387022825,14
12062,2008,29709,20080701,8.330080174,0,-0.110534565,0.092293864,9.655549654,5.524563357,4.73834635,0.348475163,2.524318941,8.382335205,0.151178092,0.177389522,7.606014371,16
12062,2008,29709,20080507,8.615884009,1,-0.093035109,0.26419784,9.655549654,5.524563357,4.73834635,0.348475163,2.524318941,8.382335205,0.151178092,0.177389522,8.490485555,16
12062,2009,29709,20090701,8.302932074,0,-0.014687845,-0.110534565,9.544652335,5.602493407,5.638542952,0.352319888,2.130926652,8.449021411,0.172988681,0.178769287,8.330080174,17
12062,2009,29709,20090210,8.564350517,1,-0.299330526,-0.068135366,9.544652335,5.602493407,5.638542952,0.352319888,2.130926652,8.449021411,0.172988681,0.178769287,8.615884009,17
12062,2010,29709,20100701,8.304405829,0,0.082197343,-0.014687845,10.23451276,6.230386134,5.909837455,0.409863222,2.193631816,8.484422035,0.131394059,0.184687868,8.302932074,18
12062,2010,29709,20100209,8.63123044,1,0.326965746,-0.299330526,10.23451276,6.230386134,5.909837455,0.409863222,2.193631816,8.484422035,0.131394059,0.184687868,8.564350517,18
12062,2011,29709,20110701,8.422239228,0,0.240670347,0.082197343,10.61504565,6.635190701,6.038745816,0.520569284,2.056386438,8.730496486,0.171983074,0.182645004,8.304405829,19
12062,2011,29709,20110209,8.725138588,1,0.225736803,0.326965746,10.61504565,6.635190701,6.038745816,0.520569284,2.056386438,8.730496486,0.171983074,0.182645004,8.63123044,19
12062,2012,29709,20120701,8.573538175,0,-0.0748679,0.240670347,10.62220784,6.728436578,6.466555164,0.636195684,1.962155917,8.722189065,0.184453639,0.138272084,8.422239228,20
12062,2012,29709,20120524,8.235525019,1,-0.175290076,0.330127016,10.62220784,6.728436578,6.466555164,0.636195684,1.962155917,8.722189065,0.184453639,0.138272084,8.725138588,20
12570,1996,2625,19960701,6.973148933,1,0.009022785,0.319101161,9.792403747,5.762007018,4.19640035,0.809294238,1.37126314,8.679312041,0.199338697,0.018849116,7.411674224,4
12570,1997,2625,19970701,6.737677983,1,0.165660713,0.009022785,9.926520329,5.894458806,4.442506257,0.918217981,1.382886528,8.611084183,0.18683893,0.08043885,6.973148933,5
12570,1998,2625,19980701,6.870847761,1,0.169141446,0.165660713,10.3942645,6.245314037,4.147841003,0.938598448,1.465226791,8.735766314,0.239509967,0.142609994,6.737677983,6
12570,1999,2625,19990701,7.274087048,1,0.023151817,0.169141446,10.82840139,6.58984738,4.398555062,0.951604457,1.498084297,8.527103918,0.101420924,-0.07012298,6.870847761,7
12570,2000,2625,20000701,7.148050317,1,-0.170328708,0.023151817,10.62236167,6.424201406,4.716267451,0.952026957,1.406331796,8.418653803,0.170805553,0.011646332,7.274087048,8
12570,2002,10631,20020701,7.633636675,1,0.405742973,0.288782342,10.39911205,6.147240389,4.680860496,0.88584388,1.689367292,8.413919386,0.12780411,0.09936245,7.610106333,10
12570,2003,10631,20030701,7.623347152,1,0.029918481,0.405742973,10.4615502,6.221961252,4.907191714,0.893094892,1.822984869,8.592411975,0.080589025,0.135591341,7.633636675,11
12570,2005,26006,20050701,7.865547304,1,0.294642248,0.181563876,8.246120905,4.363492256,4.454395544,0,1.749076649,8.892570157,0.099941025,0.086348019,8.276209671,13
12570,2006,26006,20060701,8.25578479,0,-0.091689561,0.294642248,9.700920268,5.781454251,5.49848682,0,1.958297644,8.862823366,0.09164821,0.092967966,0,14
12570,2006,26006,20060306,7.175746909,1,0.198566239,0.155466385,9.700920268,5.781454251,5.49848682,0,1.958297644,8.862823366,0.09164821,0.092967966,7.865547304,14
12570,2007,26006,20070701,8.422778551,0,0.18562313,-0.091689561,10.2349966,6.05246601,4.628384646,0,2.01402007,8.913415718,0.073335178,0.121881813,8.25578479,15
12570,2007,26006,20070307,7.20424077,1,0.021613479,0.198566239,10.2349966,6.05246601,4.628384646,0,2.01402007,8.913415718,0.073335178,0.121881813,7.175746909,15
