permno,fyear,date,adjfac,S0,S1,u,sigma
80049,2007,20071231,1,4.5,6.6300001144,0.1130709004,0.3608007172
80049,2008,20081231,1,6.6300001144,3.4400000572,-0.03904353,0.5181922357
80049,2009,20091231,1,3.4400000572,6,0.2186125318,0.7059624822
80049,2010,20101231,1,6,11.68999958,0.3957849309,0.7324770552
80049,2011,20111231,1,11.68999958,4.8699998856,0.3648240867,0.6788525732
80303,2007,20071231,1,16.899999619,46.240001678,0.7286382684,0.6340947459
80303,2008,20081231,1,46.240001678,9.3199996948,0.6181663207,0.6907520759
80303,2009,20091231,1,9.3199996948,21.350000381,0.7016051568,0.8263822629
80303,2010,20101231,1,21.350000381,16.370000839,0.0806809424,0.8382161067
80303,2011,20111231,1,16.370000839,8.2600002289,0.1827814321,0.7246392148
80621,2007,20080331,1,74.050003052,56.049999237,0.0116707638,0.3375351875
80621,2008,20090331,1,56.049999237,12.720000267,-0.231472177,0.620007651
80621,2009,20100331,1,12.720000267,41.409999847,0.3980824138,0.7878092118
80621,2010,20110331,1,41.409999847,54.630001068,0.5937943142,0.7799532834
80621,2011,20120331,1,54.630001068,45.25,0.7951124228,0.5557045844
81162,2007,20071231,1,10.779999733,8.4499998093,-0.116790388,0.3788284334
81162,2008,20081231,1,8.4499998093,7.3099999428,-0.172066051,0.3985895351
81162,2009,20091231,1,7.3099999428,8.1999998093,-0.095125128,0.3769679396
81162,2010,20101231,1,8.1999998093,12.989999771,0.1816132741,0.4095878009
81162,2011,20111231,1,12.989999771,10.109999657,0.1575491286,0.330368357
81222,2007,20071231,1,29.510000229,14.520000458,-0.117142893,0.2830945142
81222,2008,20081231,1,14.520000458,17.649999619,0.0521890913,0.3711085218
81222,2009,20091231,1,17.649999619,17.719999313,-0.112454379,0.3820796108
81222,2010,20101231,1,17.719999313,32.279998779,0.3364869172,0.390543434
81222,2011,20111231,1,32.279998779,37,0.3198521426,0.3527033859
81501,2007,20071231,1.5,18.159999847,22.220001221,0.0386145078,0.3291527373
81501,2008,20081231,1.5,22.220001221,16.240000407,-0.10074896,0.2827940136
81501,2009,20091231,1.5,16.240000407,19.633333842,0.0306249114,0.3279161345
81501,2010,20101231,1.5,19.633333842,25.093332926,0.0649039947,0.3354290904
81501,2011,20111231,1,25.093332926,25.950000763,0.1699045032,0.301273108
81655,2007,20080531,1,45.569999695,34.25,-0.00057771,0.300478374
81655,2008,20090531,1,34.25,36.169998169,-0.001459713,0.4836977032
81655,2009,20100531,1,36.169998169,42.900001526,-0.016397956,0.4743166921
81655,2010,20110531,1,42.900001526,50.650001526,0.1339134986,0.4384788713
81655,2011,20120531,1,50.650001526,51.729999542,0.1262551392,0.2199253652
81912,2007,20080331,1,15.199999809,12.81000042,0.0063652487,0.2336505327
81912,2008,20090331,1,12.81000042,9.0799999237,-0.224430558,0.2546136139
81912,2009,20100331,1,9.0799999237,14.199999809,0.0224545883,0.2826033702
81912,2010,20110331,1,14.199999809,14.909999847,0.1009222119,0.3023766085
81912,2011,20120331,1,14.909999847,13.260000229,0.1641495632,0.2563094511
82307,2007,20071231,1,56.880001068,56.349998474,0.0850818459,0.2078137904
82307,2008,20081231,1,56.349998474,49.569999695,-0.03932685,0.2089722066
82307,2009,20091231,1,49.569999695,58.740001678,-0.003016173,0.200319676
82307,2010,20101231,1,58.740001678,69.489997864,0.0741941402,0.2002345092
82307,2011,20111231,1,69.489997864,75.809997559,0.1492617501,0.2296310132
82515,2007,20071231,1,39.169998169,19.829999924,-0.129283067,0.268423903
82515,2008,20081231,1,19.829999924,17.969999313,-0.208144507,0.3913882155
82515,2009,20091231,1,17.969999313,19.079999924,-0.190139047,0.5153267904
82515,2010,20101231,1,19.079999924,22.540000916,0.0414010379,0.5027359659
82515,2011,20111231,1,22.540000916,30.100000381,0.1891589109,0.4282109189
82546,2007,20071231,2,17.645000458,27.049999237,0.3319759511,0.3270463768
82546,2008,20081231,2,27.049999237,9.9849996567,-0.00239664,0.4798156721
82546,2009,20091231,2,9.9849996567,20.364999771,0.2869514091,0.4917194008
82546,2010,20101231,2,20.364999771,28.959999084,0.2700335421,0.4716921395
82546,2011,20111231,1,28.959999084,24.36000061,0.4292881039,0.3410053772
82587,2007,20071231,1,25.950000763,14.539999962,0.3659493126,0.595309099
82587,2008,20081231,1,14.539999962,5.0700001717,-0.082459695,0.6133699547
82587,2009,20091231,1,5.0700001717,11.470000267,0.0429173035,0.6097239935
82587,2010,20101231,1,11.470000267,14.010000229,0.2705936867,0.603430011
