permno,fyear,date,adjfac,S0,S1,u,sigma
80303,2008,20081231,1,9.319999695,21.35000038,0.618166321,0.690752076
80303,2009,20091231,1,21.35000038,16.37000084,0.701605157,0.826382263
80303,2010,20101231,1,16.37000084,8.260000229,0.080680942,0.838216107
80303,2011,20111231,1,8.260000229,4.599999905,0.182781432,0.724639215
83422,2007,20071231,1,18,19.12000084,0.364612082,0.322225661
83422,2008,20081231,1,19.12000084,25.46999931,0.092407712,0.375815463
83422,2009,20091231,1,25.46999931,20.26000023,0.11497899,0.384504141
83422,2010,20101231,1,20.26000023,15.65999985,0.053933797,0.457426214
83422,2011,20111231,1,15.65999985,15.22000027,-0.036561247,0.395989264
84365,2007,20071231,1,51.49000168,45.75,0.029069699,0.271869024
84365,2008,20081231,1,45.75,46.18000031,-0.073283916,0.299238639
84365,2009,20091231,1,46.18000031,56.34000015,-0.080065353,0.432219873
84365,2010,20101231,1,56.34000015,60.38999939,0.031093963,0.454825904
84365,2011,20111231,1,60.38999939,70.62000275,0.096916387,0.426257082
84381,2007,20070930,1,69.51000214,37.34000015,0.171787054,0.259533703
84381,2008,20080930,1,37.34000015,42.59999847,-0.095588861,0.290131792
84381,2009,20090930,1,42.59999847,61.72999954,-0.067228929,0.47469075
84381,2010,20100930,1,61.72999954,56,0.03370145,0.502513222
84381,2011,20110930,1,56,69.55000305,0.160966222,0.480426635
84776,2007,20071231,1,73.27999878,17.69000053,0.7002613,0.319355472
84776,2008,20081231,1,17.69000053,29.42000008,0.321042241,0.511428521
84776,2009,20091231,1,29.42000008,35.09000015,0.16614756,0.61706198
84776,2010,20101231,1,35.09000015,25.01000023,0.026996554,0.616233563
84776,2011,20111231,1,25.01000023,30.40999985,0.18534463,0.540057243
85257,2007,20071231,2.25,20.81777785,13.42666626,0.210216281,0.179844224
85257,2008,20081231,2.25,13.42666626,16.9955563,0.037438714,0.250693096
85257,2009,20091231,2.25,16.9955563,26.16666667,0.100713805,0.286998549
85257,2010,20101231,1.5,26.16666667,28.06666565,0.142606773,0.304177212
85257,2011,20111231,1.5,28.06666565,37.5699997,0.288501298,0.284657854
86021,2007,20071231,1.041837,101.6857747,70.8172188,0.089455836,0.136471612
86021,2008,20081231,1.041837,70.8172188,83.45834996,-0.009227675,0.231106887
86021,2009,20091231,1.041837,83.45834996,67.6593343,0.032329466,0.272223768
86021,2010,20101231,1.041837,67.6593343,64.00233463,-0.111792083,0.299453087
86021,2011,20111231,1.041837,64.00233463,76.62000275,-0.024896956,0.271813055
87789,2007,20071231,1,16.23999977,21.36000061,0.176394546,0.327717505
87789,2008,20081231,1,21.36000061,14.93000031,0.185851407,0.372505565
87789,2009,20091231,1,14.93000031,18.28000069,0.070594331,0.375847107
87789,2010,20101231,1,18.28000069,21.22999954,0.069401059,0.390222974
87789,2011,20111231,1,21.22999954,16.79850006,0.025138505,0.3159752
88281,2007,20071231,1,65.80000305,26.20000076,0.106071829,0.212922554
88281,2008,20081231,1,26.20000076,33.68999863,-0.059875738,0.382092241
88281,2009,20091231,1,33.68999863,35.54000092,0.042632695,0.379977461
88281,2010,20101231,1,35.54000092,27.32999992,-0.09265357,0.402007442
88281,2011,20111231,1,27.32999992,37.47000122,0.033047397,0.297144821
89006,2007,20071231,1.540555,21.18067909,17.42878403,-0.05153497,0.145471372
89006,2008,20081231,1.540555,17.42878403,17.6429925,-0.036529944,0.196880641
89006,2009,20091231,1.540555,17.6429925,20.45366782,-0.103556093,0.241838405
89006,2010,20101231,1.540555,20.45366782,24.25100085,-0.00965854,0.234406498
89006,2011,20111231,1.540555,24.25100085,25.45319939,0.115570633,0.192894726
89036,2007,20071231,1,19.35000038,12.94999981,0.348340364,0.449005257
89036,2008,20081231,1,12.94999981,14.78999996,-0.082897901,0.457704925
89036,2009,20091231,1,14.78999996,14.18000031,-0.03055633,0.438585551
89036,2010,20101231,1,14.18000031,9.430000305,-0.083551943,0.464092119
89036,2011,20111231,1,9.430000305,11.16409969,-0.081254249,0.433962147
89105,2007,20071031,1,58.06000137,28.97999954,0.537139747,0.492543879
89105,2008,20081031,1,28.97999954,50.40999985,0.041783304,0.540714509
89105,2009,20091031,1,50.40999985,70.94999695,0.211908954,0.537681625
89105,2010,20101031,1,70.94999695,87.19999695,0.206851474,0.533378954
89105,2011,20111031,1,87.19999695,62.45000076,0.453200824,0.502209096
89167,2007,20071231,1,14.23999977,8.789999962,-0.086137647,0.25336346
89167,2008,20081231,1,8.789999962,9.909999847,-0.201412732,0.382808985
89167,2009,20091231,1,9.909999847,8.470000267,-0.216308705,0.470635718
89167,2010,20101231,1,8.470000267,5.550000191,-0.14006817,0.477551748
89167,2011,20111231,1,5.550000191,4.800000191,-0.123976161,0.443708419
89216,2007,20070831,1.179823,44.53210432,43.50999832,0.267582444,0.256027982
89216,2008,20080831,1,43.50999832,32.11000061,0.169321097,0.264517456
89216,2009,20090831,1,32.11000061,38.74000168,-0.048013701,0.402478597
89216,2010,20100831,1,38.74000168,46.04000092,-0.038078054,0.416367376
89216,2011,20110831,1,46.04000092,64.16000366,0.040033884,0.411774232
90829,2007,20071231,1,110.0599976,49.15999985,1.865556089,0.313071556
90829,2008,20081231,1,49.15999985,90.77999878,1.056402974,0.539830936
90829,2009,20091231,1,90.77999878,135.1499939,1.134257734,0.549237709
90829,2010,20101231,1,135.1499939,144.9799957,0.253533024,0.548374266
90829,2011,20111231,1,144.9799957,203.1600037,0.464433376,0.482125815
90971,2007,20071231,1,18.07999992,9.029999733,-0.264074584,0.313071556
90971,2008,20081231,1,9.029999733,17.60000038,-0.346022874,0.46432158
90971,2009,20091231,1,17.60000038,24.87999916,0.129195647,0.527922198
90971,2010,20101231,1,24.87999916,29.85000038,0.279883842,0.526411638
90971,2011,20111231,1,29.85000038,18.73999977,0.515738158,0.527619771
91114,2007,20071231,1,43.24000168,21.62000084,0.45737847,0.313071556
91114,2008,20081231,1,21.62000084,30.44000053,0.135045651,0.44892229
91114,2009,20091231,1,30.44000053,35.77999878,0.16031792,0.532475693
91114,2010,20101231,1,35.77999878,34.36000061,0.02117929,0.565806632
91114,2011,20111231,1,34.36000061,38.15000153,0.177245459,0.517462059
91463,2007,20080331,1,12.39999962,10.97000027,0.045783981,0.313071556
91463,2008,20090331,1,10.97000027,21.35000038,-0.195476805,0.490025329
91463,2009,20100331,1,21.35000038,39.88000107,0.182521659,0.50345074
91463,2010,20110331,1,39.88000107,49.63999939,0.557632542,0.511106111
91463,2011,20120331,1,49.63999939,69.66239929,0.681335323,0.39611607
92044,2007,20071231,1,7,2.380000114,0.045783981,0.313071556
92044,2008,20081231,1,2.380000114,9.829999924,-0.083246697,0.38949402
92044,2009,20091231,1,9.829999924,15.30000019,1.223145391,0.755134955
92044,2010,20101231,1,15.30000019,15.73999977,0.999322046,0.724305183
92044,2011,20111231,1,15.73999977,22.19000053,1.23043682,0.628115049
