permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
14277,2011,16308,20110731,7,10,0.01961,0.42265,0.01417,0,0.51120,0.11106,0.000,12.586,8.144,7.086,0.73480,2.59236,10.85453,0.06045,0.16417
14277,2011,16308,20110131,1,10,0.01961,0.42265,0.01417,1,0.39801,0.54809,9.295,12.586,8.144,7.086,0.73480,2.59236,10.85453,0.06045,0.16417
15069,2007,14406,20070731,7,10,0.04018,0.30106,0.02109,0,0.16066,0.48724,0.000,11.298,6.905,5.491,0.68001,1.56962,10.33631,0.07299,0.19257
15069,2007,14406,20070630,6,10,0.04018,0.30106,0.02109,1,0.57342,0.48575,8.496,11.298,6.905,5.491,0.68001,1.56962,10.33631,0.07299,0.19257
15069,2008,14406,20080731,7,10,0.02391,0.30899,0.01708,0,-0.12896,0.16066,0.000,11.710,7.314,5.872,0.74899,1.56828,10.66305,0.10763,0.21151
15069,2008,14406,20080531,5,10,0.02391,0.30899,0.01708,1,0.12650,0.22449,8.864,11.710,7.314,5.872,0.74899,1.56828,10.66305,0.10763,0.21151
15069,2009,14406,20090731,7,10,0.03527,0.38507,0.02200,0,-0.35445,-0.12896,0.000,11.497,7.048,6.099,0.79780,0.95289,10.66165,0.17664,0.15866
15069,2009,14406,20090228,2,10,0.03527,0.38507,0.02200,1,-0.56926,0.12650,8.319,11.497,7.048,6.099,0.79780,0.95289,10.66165,0.17664,0.15866
15069,2010,14406,20100731,7,10,0.03237,0.35388,0.02663,0,0.03339,-0.35445,0.000,10.909,6.665,6.252,0.79607,1.00478,10.75903,0.18047,0.12341
15069,2010,14406,20100228,2,10,0.03237,0.35388,0.02663,1,0.23876,-0.56926,8.285,10.909,6.665,6.252,0.79607,1.00478,10.75903,0.18047,0.12341
15069,2011,14406,20110731,7,10,0.01961,0.34110,0.03039,0,0.51519,0.03339,0.000,11.311,7.056,6.474,0.78256,1.05039,10.82008,0.15030,0.12482
15069,2011,14406,20110228,2,10,0.01961,0.34110,0.03039,1,0.70827,0.23876,8.552,11.311,7.056,6.474,0.78256,1.05039,10.82008,0.15030,0.12482
15202,2007,11011,20070731,7,10,0.04018,0.22364,0.01739,0,0.36291,-0.08869,0.000,11.533,7.400,5.874,0.78735,2.89857,8.13892,0.05255,0.16143
15202,2007,11011,20070131,1,10,0.04018,0.22364,0.01739,1,0.40770,0.31529,8.179,11.533,7.400,5.874,0.78735,2.89857,8.13892,0.05255,0.16143
15202,2008,11011,20080731,7,10,0.02391,0.28059,0.01877,0,-0.34878,0.36291,0.000,11.285,7.167,6.235,0.81868,1.53720,9.09800,0.26618,0.20680
15202,2008,11011,20080229,2,10,0.02391,0.28059,0.01877,1,-0.42365,0.40770,8.250,11.285,7.167,6.235,0.81868,1.53720,9.09800,0.26618,0.20680
15202,2009,11011,20090731,7,10,0.03527,0.37094,0.02238,0,-0.26709,-0.34878,0.000,10.997,6.849,6.375,0.83370,1.46553,9.09551,0.27157,0.04870
15202,2009,11011,20090228,2,10,0.03527,0.37094,0.02238,1,-0.41842,-0.42365,7.412,10.997,6.849,6.375,0.83370,1.46553,9.09551,0.27157,0.04870
15202,2010,11011,20100731,7,10,0.03237,0.40952,0.02617,0,-0.05071,-0.26709,0.000,10.499,6.388,6.280,0.77150,1.30233,9.05181,0.24639,0.05082
15202,2010,11011,20100228,2,10,0.03237,0.40952,0.02617,1,0.04372,-0.41842,8.258,10.499,6.388,6.280,0.77150,1.30233,9.05181,0.24639,0.05082
15202,2011,11011,20110731,7,10,0.01961,0.44048,0.02593,0,-0.24392,-0.05071,0.000,10.245,6.136,6.133,0.79580,1.20849,9.02869,0.26977,0.02376
15202,2011,11011,20110228,2,10,0.01961,0.44048,0.02593,1,-0.03757,0.06216,7.626,10.245,6.136,6.133,0.79580,1.20849,9.02869,0.26977,0.02376
15579,2007,14274,20070131,1,10,0.04018,0.28452,0.00379,0,0.01635,0.21419,8.480,11.084,7.023,6.721,0.67738,3.18240,9.54187,0.00097,0.16331
15579,2007,14274,20070131,1,10,0.04018,0.28452,0.00379,1,0.01635,0.21419,8.683,11.084,7.023,6.721,0.67738,3.18240,9.54187,0.00097,0.16331
15579,2008,14274,20080131,1,10,0.02391,0.26538,0.00557,0,-0.04895,0.01635,8.354,11.336,7.283,6.714,0.74032,3.75426,9.44683,0.00000,0.31630
15579,2008,14274,20080131,1,10,0.02391,0.26538,0.00557,1,-0.04895,0.01635,8.160,11.336,7.283,6.714,0.74032,3.75426,9.44683,0.00000,0.31630
15579,2009,14274,20090131,1,10,0.03527,0.27542,0.01322,0,-0.52524,-0.04895,8.405,9.856,5.807,6.149,0.77956,1.88123,9.38631,0.00000,0.26289
15579,2009,14274,20090131,1,10,0.03527,0.27542,0.01322,1,-0.52524,-0.04895,7.961,9.856,5.807,6.149,0.77956,1.88123,9.38631,0.00000,0.26289
15579,2010,14274,20100131,1,10,0.03237,0.29763,0.01740,0,0.49833,-0.52524,8.105,10.895,6.850,6.623,0.70582,2.86447,9.40261,0.00000,0.22167
15579,2010,14274,20100131,1,10,0.03237,0.29763,0.01740,1,0.49833,-0.52524,8.013,10.895,6.850,6.623,0.70582,2.86447,9.40261,0.00000,0.22167
15579,2011,14274,20110131,1,10,0.01961,0.31567,0.01940,0,0.50256,0.49833,8.331,11.513,7.376,6.705,0.70803,3.05245,9.50316,0.00000,0.31521
15579,2011,14274,20110131,1,10,0.01961,0.31567,0.01940,1,0.50256,0.49833,8.362,11.513,7.376,6.705,0.70803,3.05245,9.50316,0.00000,0.31521
16126,2007,36052,20070930,9,10,0.03672,0.38732,0.00000,0,0.82994,0.69850,0.000,9.734,5.298,1.974,0.58023,1.62141,5.30781,0.10806,0.04912
16126,2007,36052,20070630,6,10,0.03672,0.38732,0.00000,1,0.62825,0.30397,5.507,9.734,5.298,1.974,0.58023,1.62141,5.30781,0.10806,0.04912
16126,2008,36052,20080930,9,10,0.02830,0.48692,0.00000,0,0.15468,0.82994,0.000,9.207,4.806,2.258,0.53626,2.46625,5.26950,0.00000,0.19375
16126,2008,36052,20080331,3,10,0.02830,0.48692,0.00000,1,0.63440,0.62825,5.504,9.207,4.806,2.258,0.53626,2.46625,5.26950,0.00000,0.19375
16126,2009,36052,20090930,9,10,0.03624,0.53984,0.00000,0,-0.26908,0.63440,0.000,8.319,4.047,2.658,0.58877,1.16544,5.87413,0.24190,0.31138
16126,2009,36052,20090331,3,10,0.03624,0.53984,0.00000,1,-0.26908,0.63440,5.943,8.319,4.047,2.658,0.58877,1.16544,5.87413,0.24190,0.31138
16126,2010,36052,20100331,3,10,0.03517,0.55136,0.00265,0,0.27743,-0.26908,5.288,8.365,3.839,0.719,0.92554,1.41951,5.94793,0.18443,0.23283
16126,2010,36052,20100331,3,10,0.03517,0.55136,0.00265,1,0.27743,-0.26908,5.806,8.365,3.839,0.719,0.92554,1.41951,5.94793,0.18443,0.23283
16126,2011,36052,20110331,3,10,0.01951,0.48235,0.01041,0,0.34326,0.27743,5.521,8.677,4.089,0.000,0.86360,1.48928,6.34128,0.26668,0.11018
16126,2011,36052,20110331,3,10,0.01951,0.48235,0.01041,1,0.34326,0.27743,6.262,8.677,4.089,0.000,0.86360,1.48928,6.34128,0.26668,0.11018
17726,2007,12592,20070228,2,10,0.04018,0.25774,0.00000,0,0.12409,0.33785,7.220,10.482,6.110,4.263,0.98434,1.62109,8.75763,0.34356,0.05424
17726,2007,12592,20070731,7,10,0.04018,0.25774,0.00000,1,0.40610,0.00895,0.000,10.482,6.110,4.263,0.98434,1.62109,8.75763,0.34356,0.05424
17726,2008,12592,20080131,1,10,0.02391,0.22177,0.00000,0,0.06307,0.12409,8.310,10.810,6.419,3.944,0.88935,1.58508,8.85080,0.31069,0.08006
17726,2008,12592,20080731,7,10,0.02391,0.22177,0.00000,1,0.10975,0.40610,0.000,10.810,6.419,3.944,0.88935,1.58508,8.85080,0.31069,0.08006
